00683,27/12/2020,03,11,17,19,34,39,0,85542628500,39,10000000,2167,300000,34272,30000
00682,25/12/2020,06,12,15,22,33,39,0,79257983500,47,10000000,2089,300000,34899,30000
00681,23/12/2020,07,11,17,31,35,40,0,73587193000,27,10000000,1647,300000,29666,30000
00680,20/12/2020,15,18,28,30,34,44,0,67862170500,39,10000000,1876,300000,27842,30000
00679,18/12/2020,04,09,14,23,32,38,0,62918148000,35,10000000,1878,300000,28033,30000
00678,16/12/2020,10,11,22,27,36,41,0,58449750000,35,10000000,1359,300000,22947,30000
00677,13/12/2020,10,12,20,36,41,44,0,53778716000,24,10000000,1297,300000,22820,30000
00676,11/12/2020,23,24,25,35,37,39,0,49475568500,19,10000000,1116,300000,21033,30000
00675,09/12/2020,16,24,27,31,36,43,0,45377214000,22,10000000,1134,300000,19419,30000
00674,06/12/2020,11,21,24,27,29,37,0,41344297000,19,10000000,1081,300000,18516,30000
00673,04/12/2020,03,05,33,37,41,43,0,37621514500,18,10000000,1050,300000,16889,30000
00672,02/12/2020,04,05,07,10,25,39,0,34216388000,23,10000000,1134,300000,19468,30000
00671,29/11/2020,06,07,14,18,37,43,0,32487853000,23,10000000,1023,300000,17211,30000
00670,27/11/2020,01,09,12,13,37,43,0,30862326500,23,10000000,954,300000,16447,30000
00669,25/11/2020,01,05,07,08,25,40,0,29360095000,8,10000000,1024,300000,17586,30000
00668,22/11/2020,09,16,17,24,32,40,0,27655191500,21,10000000,947,300000,15255,30000
00667,20/11/2020,02,17,24,29,31,37,0,26126425000,20,10000000,835,300000,13742,30000
00666,18/11/2020,18,19,21,31,39,44,0,24618929000,23,10000000,1015,300000,16202,30000
00665,15/11/2020,14,16,21,29,40,41,0,23148689500,16,10000000,843,300000,14669,30000
00664,13/11/2020,08,22,23,33,34,36,0,21632894500,16,10000000,810,300000,13540,30000
00663,11/11/2020,04,10,12,17,20,35,0,20122882500,9,10000000,951,300000,15281,30000
00662,08/11/2020,03,12,14,16,23,33,0,18724109500,20,10000000,930,300000,14733,30000
00661,06/11/2020,19,24,30,32,36,37,0,17496992000,12,10000000,754,300000,12378,30000
00660,04/11/2020,03,08,11,13,26,38,0,16175474000,33,10000000,1024,300000,14564,30000
00659,01/11/2020,06,21,27,30,32,44,0,15227119000,19,10000000,684,300000,11520,30000
00658,30/10/2020,04,05,14,18,23,43,0,14044809000,12,10000000,790,300000,12456,30000
00657,28/10/2020,01,04,07,15,35,45,0,13017582500,13,10000000,686,300000,11869,30000
00656,25/10/2020,11,19,30,38,41,45,1,15469693500,12,10000000,747,300000,12376,30000
00655,23/10/2020,05,10,16,23,34,45,0,14262597000,16,10000000,757,300000,12730,30000
00654,21/10/2020,04,11,26,36,38,41,0,13214173000,9,10000000,622,300000,10869,30000
00653,18/10/2020,01,14,25,26,30,40,1,24736948000,16,10000000,818,300000,13629,30000
00652,16/10/2020,04,14,16,23,24,27,0,23175596500,13,10000000,804,300000,14389,30000
00651,14/10/2020,04,07,23,32,43,44,0,21714617500,30,10000000,955,300000,14802,30000
00650,11/10/2020,12,18,28,31,40,45,0,20556242500,23,10000000,816,300000,14200,30000
00649,09/10/2020,15,19,23,30,33,39,0,19233191500,16,10000000,702,300000,13083,30000
00648,07/10/2020,13,15,25,26,28,34,0,17933889000,8,10000000,741,300000,12384,30000
00647,04/10/2020,09,16,19,25,26,39,0,16586431000,21,10000000,903,300000,14560,30000
00646,02/10/2020,09,11,21,31,32,37,0,15499943500,10,10000000,629,300000,11077,30000
00645,30/09/2020,02,05,31,32,42,44,0,14253385000,15,10000000,690,300000,11080,30000
00644,27/09/2020,01,12,26,31,37,38,0,13062466000,18,10000000,783,300000,11192,30000
00643,25/09/2020,14,20,22,35,44,45,1,39137122000,14,10000000,1091,300000,18180,30000
00642,23/09/2020,02,08,17,23,30,41,0,35907292500,27,10000000,1057,300000,17060,30000
00641,20/09/2020,05,07,09,13,15,16,0,32667127000,39,10000000,1361,300000,18706,30000
00640,18/09/2020,10,19,21,23,27,33,0,31378564000,20,10000000,872,300000,15537,30000
00639,16/09/2020,05,20,29,30,38,40,0,29847296500,27,10000000,976,300000,16185,30000
00638,13/09/2020,20,23,28,37,40,44,0,28258554000,10,10000000,854,300000,15135,30000
00637,11/09/2020,04,11,13,16,17,33,0,26560368000,18,10000000,878,300000,15083,30000
00636,09/09/2020,19,21,34,35,36,39,0,25062356000,16,10000000,867,300000,14630,30000
00635,06/09/2020,01,06,19,29,31,44,0,23500560000,14,10000000,944,300000,15463,30000
00634,04/09/2020,07,16,20,30,40,41,0,22097628000,12,10000000,756,300000,13166,30000
00633,02/09/2020,08,10,14,16,18,24,0,20638279000,11,10000000,920,300000,13588,30000
00632,30/08/2020,06,08,18,19,29,33,0,19318430000,15,10000000,912,300000,14327,30000
00631,28/08/2020,10,11,14,23,27,37,0,18106010500,14,10000000,670,300000,11789,30000
00630,26/08/2020,02,18,24,28,35,42,0,16963660000,17,10000000,873,300000,14051,30000
00629,23/08/2020,10,14,19,25,36,39,0,15667908000,20,10000000,834,300000,13792,30000
00628,21/08/2020,07,08,26,30,37,43,0,14448262000,15,10000000,736,300000,12283,30000
00627,19/08/2020,07,20,36,37,43,45,0,13211329500,16,10000000,682,300000,12466,30000
00626,16/08/2020,02,05,06,20,33,39,1,17198203500,7,10000000,729,300000,13507,30000
00625,14/08/2020,09,18,21,24,34,41,0,15762353000,13,10000000,738,300000,12530,30000
00624,12/08/2020,07,21,34,38,43,44,0,14457721000,22,10000000,790,300000,13278,30000
00623,09/08/2020,11,13,14,43,44,45,0,13221947500,23,10000000,740,300000,12506,30000
00622,07/08/2020,17,26,35,40,43,44,1,70360287500,36,10000000,1802,300000,27471,30000
00621,05/08/2020,14,18,19,32,33,38,0,65070796000,39,10000000,1602,300000,26088,30000
00620,02/08/2020,06,09,12,17,41,42,0,60108410500,18,10000000,1241,300000,22805,30000
00619,31/07/2020,04,09,19,29,36,41,0,55804881000,29,10000000,1515,300000,24155,30000
00618,29/07/2020,06,14,26,41,42,43,0,51471624500,40,10000000,1562,300000,23332,30000
00617,26/07/2020,05,15,21,39,43,45,0,47551547500,38,10000000,1428,300000,21309,30000
00616,24/07/2020,04,25,31,35,39,41,0,44043448000,19,10000000,1003,300000,17650,30000
00615,22/07/2020,09,13,18,24,26,42,0,40417844000,27,10000000,1280,300000,20333,30000
00614,19/07/2020,01,13,14,19,42,45,0,36823607000,19,10000000,949,300000,18027,30000
00613,17/07/2020,04,10,18,20,32,45,0,33354961500,25,10000000,1350,300000,18291,30000
